country,model,bin,mean_predicted_probability,observed_probability,n
Armenia_DHS_2015-2016,LightGBM,6,0.05312850911866871,0.14814814814814814,27
Armenia_DHS_2015-2016,LightGBM,7,0.08124044533422257,0.1111111111111111,27
Armenia_DHS_2015-2016,LightGBM,8,0.12724141809366318,0.18518518518518517,27
Armenia_DHS_2015-2016,LightGBM,9,0.2312969162631672,0.37037037037037035,27
Armenia_DHS_2015-2016,LightGBM,10,0.5230658120882559,0.42857142857142855,28
Armenia_DHS_2015-2016,XGBoost,1,0.03607941418886185,0.07142857142857142,28
Armenia_DHS_2015-2016,XGBoost,2,0.047337498515844345,0.037037037037037035,27
Armenia_DHS_2015-2016,XGBoost,3,0.06023791804909706,0.0,27
Armenia_DHS_2015-2016,XGBoost,4,0.07292775064706802,0.1111111111111111,27
Armenia_DHS_2015-2016,XGBoost,5,0.08652554452419281,0.10714285714285714,28
Armenia_DHS_2015-2016,XGBoost,6,0.10744791477918625,0.14814814814814814,27
Armenia_DHS_2015-2016,XGBoost,7,0.13341514766216278,0.14814814814814814,27
Armenia_DHS_2015-2016,XGBoost,8,0.18661631643772125,0.2222222222222222,27
Armenia_DHS_2015-2016,XGBoost,9,0.26147323846817017,0.25925925925925924,27
Armenia_DHS_2015-2016,XGBoost,10,0.39010873436927795,0.5,28
Armenia_DHS_2015-2016,TabPFN,1,0.018678875640034676,0.03571428571428571,28
Armenia_DHS_2015-2016,TabPFN,2,0.034176163375377655,0.0,27
Armenia_DHS_2015-2016,TabPFN,3,0.054413147270679474,0.07407407407407407,27
Armenia_DHS_2015-2016,TabPFN,4,0.07482977211475372,0.0,27
Armenia_DHS_2015-2016,TabPFN,5,0.1060963124036789,0.17857142857142858,28
Armenia_DHS_2015-2016,TabPFN,6,0.1316968947649002,0.1111111111111111,27
Armenia_DHS_2015-2016,TabPFN,7,0.15917299687862396,0.2962962962962963,27
Armenia_DHS_2015-2016,TabPFN,8,0.20090357959270477,0.2222222222222222,27
Armenia_DHS_2015-2016,TabPFN,9,0.2601814568042755,0.2222222222222222,27
Armenia_DHS_2015-2016,TabPFN,10,0.3914392590522766,0.4642857142857143,28
Kyrgyz_Republic_DHS_2012,LogReg,1,0.33074595966515136,0.2054794520547945,73
Kyrgyz_Republic_DHS_2012,LogReg,2,0.366823727114598,0.3333333333333333,72
Kyrgyz_Republic_DHS_2012,LogReg,3,0.3909690145680942,0.4166666666666667,72
Kyrgyz_Republic_DHS_2012,LogReg,4,0.41146473576121007,0.4246575342465753,73
Kyrgyz_Republic_DHS_2012,LogReg,5,0.43234513186893925,0.4305555555555556,72
Kyrgyz_Republic_DHS_2012,LogReg,6,0.4495707294983842,0.4861111111111111,72
Kyrgyz_Republic_DHS_2012,LogReg,7,0.4699027016165267,0.4383561643835616,73
Kyrgyz_Republic_DHS_2012,LogReg,8,0.49277032556768346,0.5138888888888888,72
Kyrgyz_Republic_DHS_2012,LogReg,9,0.518063092560372,0.5972222222222222,72
Kyrgyz_Republic_DHS_2012,LogReg,10,0.555962267348784,0.5616438356164384,73
Kyrgyz_Republic_DHS_2012,LightGBM,1,0.11185458021575101,0.3424657534246575,73
Kyrgyz_Republic_DHS_2012,LightGBM,2,0.1927635152188834,0.2638888888888889,72
Kyrgyz_Republic_DHS_2012,LightGBM,3,0.26200558546138353,0.3333333333333333,72
Kyrgyz_Republic_DHS_2012,LightGBM,4,0.3218103492776373,0.3972602739726027,73
Kyrgyz_Republic_DHS_2012,LightGBM,5,0.3857919234489796,0.3472222222222222,72
Kyrgyz_Republic_DHS_2012,LightGBM,6,0.45529698668189955,0.4305555555555556,72
Kyrgyz_Republic_DHS_2012,LightGBM,7,0.5211351197172784,0.5753424657534246,73
Kyrgyz_Republic_DHS_2012,LightGBM,8,0.5881773605651944,0.5416666666666666,72
Kyrgyz_Republic_DHS_2012,LightGBM,9,0.6715890571812303,0.5,72
Kyrgyz_Republic_DHS_2012,LightGBM,10,0.7927595313840342,0.6712328767123288,73
Kyrgyz_Republic_DHS_2012,XGBoost,1,0.18262077867984772,0.3150684931506849,73
Kyrgyz_Republic_DHS_2012,XGBoost,2,0.24843470752239227,0.25,72
Kyrgyz_Republic_DHS_2012,XGBoost,3,0.3124772012233734,0.2638888888888889,72
Kyrgyz_Republic_DHS_2012,XGBoost,4,0.3621811866760254,0.4794520547945205,73
Kyrgyz_Republic_DHS_2012,XGBoost,5,0.4082286059856415,0.4166666666666667,72
Kyrgyz_Republic_DHS_2012,XGBoost,6,0.457529753446579,0.4027777777777778,72
Kyrgyz_Republic_DHS_2012,XGBoost,7,0.5040206909179688,0.4931506849315068,73
Kyrgyz_Republic_DHS_2012,XGBoost,8,0.5468217730522156,0.4722222222222222,72
Kyrgyz_Republic_DHS_2012,XGBoost,9,0.605776309967041,0.5416666666666666,72
Kyrgyz_Republic_DHS_2012,XGBoost,10,0.7050986886024475,0.7671232876712328,73
Kyrgyz_Republic_DHS_2012,TabPFN,1,0.17031329870224,0.2191780821917808,73
