country,subgroup,value,model,accuracy,f1,sensitivity,specificity,auc
Rwanda_DHS_2019_2020,age_group,36–47m,LogReg,0.6705882352941176,0.2222222222222222,0.17391304347826086,0.8548387096774194,0.5161290322580645
Rwanda_DHS_2019_2020,age_group,36–47m,LightGBM,0.6823529411764706,0.18181818181818182,0.13043478260869565,0.8870967741935484,0.5841514726507714
Rwanda_DHS_2019_2020,age_group,36–47m,XGBoost,0.7058823529411765,0.13793103448275862,0.08695652173913043,0.9354838709677419,0.5315568022440393
Rwanda_DHS_2019_2020,age_group,36–47m,TabPFN,0.7294117647058823,0.08,0.043478260869565216,0.9838709677419355,0.5238429172510519
Rwanda_DHS_2019_2020,age_group,6–11m,LogReg,0.62,0.6984126984126984,0.7096774193548387,0.47368421052631576,0.5297113752122241
Rwanda_DHS_2019_2020,age_group,6–11m,LightGBM,0.56,0.6666666666666666,0.7096774193548387,0.3157894736842105,0.5076400679117148
Rwanda_DHS_2019_2020,age_group,6–11m,XGBoost,0.66,0.7671232876712328,0.9032258064516129,0.2631578947368421,0.5568760611205433
Rwanda_DHS_2019_2020,age_group,6–11m,TabPFN,0.56,0.6944444444444444,0.8064516129032258,0.15789473684210525,0.4940577249575552
Rwanda_DHS_2019_2020,age_group,48–59m,LogReg,0.7547169811320755,0.0,0.0,0.975609756097561,0.7134146341463415
Rwanda_DHS_2019_2020,age_group,48–59m,LightGBM,0.7924528301886793,0.15384615384615385,0.08333333333333333,1.0,0.5548780487804879
Rwanda_DHS_2019_2020,age_group,48–59m,XGBoost,0.7735849056603774,0.0,0.0,1.0,0.6300813008130081
Rwanda_DHS_2019_2020,age_group,48–59m,TabPFN,0.7735849056603774,0.0,0.0,1.0,0.6595528455284553
Rwanda_DHS_2019_2020,age_group,24–35m,LogReg,0.6666666666666666,0.16666666666666666,0.1111111111111111,0.9047619047619048,0.5148809523809523
Rwanda_DHS_2019_2020,age_group,24–35m,LightGBM,0.7166666666666667,0.2608695652173913,0.16666666666666666,0.9523809523809523,0.5833333333333334
Rwanda_DHS_2019_2020,age_group,24–35m,XGBoost,0.7,0.05263157894736842,0.027777777777777776,0.9880952380952381,0.6193783068783069
Rwanda_DHS_2019_2020,age_group,24–35m,TabPFN,0.7,0.0,0.0,1.0,0.53885582010582
Rwanda_DHS_2019_2020,age_group,12–23m,LogReg,0.5755395683453237,0.3917525773195876,0.3064516129032258,0.7922077922077922,0.5582320904901551
Rwanda_DHS_2019_2020,age_group,12–23m,LightGBM,0.5539568345323741,0.44642857142857145,0.4032258064516129,0.6753246753246753,0.5441977377461249
Rwanda_DHS_2019_2020,age_group,12–23m,XGBoost,0.5683453237410072,0.4117647058823529,0.3387096774193548,0.7532467532467533,0.5414746543778802
Rwanda_DHS_2019_2020,age_group,12–23m,TabPFN,0.5539568345323741,0.0,0.0,1.0,0.5741516547968161
Rwanda_DHS_2019_2020,age_group,0–5m,LogReg,0.5,0.625,0.7142857142857143,0.2,0.6
Rwanda_DHS_2019_2020,age_group,0–5m,LightGBM,0.4166666666666667,0.5333333333333333,0.5714285714285714,0.2,0.5428571428571428
Rwanda_DHS_2019_2020,age_group,0–5m,XGBoost,0.5833333333333334,0.6666666666666666,0.7142857142857143,0.4,0.6
Rwanda_DHS_2019_2020,age_group,0–5m,TabPFN,0.5833333333333334,0.7368421052631579,1.0,0.0,0.8
Sierra_Leone_DHS_2019,sex,male,LogReg,0.7359307359307359,0.83008356545961,0.8869047619047619,0.3333333333333333,0.691609977324263
Sierra_Leone_DHS_2019,sex,male,LightGBM,0.6753246753246753,0.7933884297520661,0.8571428571428571,0.19047619047619047,0.6453136810279668
Sierra_Leone_DHS_2019,sex,male,XGBoost,0.7316017316017316,0.8385416666666666,0.9583333333333334,0.12698412698412698,0.6329365079365079
Sierra_Leone_DHS_2019,sex,male,TabPFN,0.7229437229437229,0.8367346938775511,0.9761904761904762,0.047619047619047616,0.6670918367346939
